% test
@RELATION gender-by-name

@ATTRIBUTE Name STRING
@ATTRIBUTE Gender STRING
@ATTRIBUTE Count INTEGER
@ATTRIBUTE Probability REAL

@DATA
James,M,5304407,0.014516787
John,M,5260831,0.01439753
Robert,M,4970386,0.013602658
Michael,M,4579950,0.012534136
William,M,4226608,0.01156713
Mary,F,4169663,0.011411287
David,M,3787547,0.010365534
Joseph,M,2695970,0.007378171
Richard,M,2638187,0.007220034
Charles,M,2433540,0.006659968
Thomas,M,2381034,0.006516273
Christopher,M,2196198,0.006010425
Daniel,M,2039641,0.005581969
Matthew,M,1738699,0.004758368
Elizabeth,F,1704140,0.004663789
Patricia,F,1608260,0.004401391
Jennifer,F,1584426,0.004336163
Anthony,M,1506437,0.004122727
George,M,1495736,0.004093442
Linda,F,1480592,0.004051996
Barbara,F,1459870,0.003995286
Donald,M,1447641,0.003961818
Paul,M,1437346,0.003933643
Mark,M,1410637,0.003860548
Andrew,M,1394274,0.003815766
Steven,M,1347137,0.003686765
Kenneth,M,1321790,0.003617397
Edward,M,1319807,0.00361197
Joshua,M,1316998,0.003604282
Margaret,F,1280255,0.003503726
Brian,M,1239444,0.003392037
Kevin,M,1237204,0.003385907
Jessica,F,1173979,0.003212876
Sarah,F,1162143,0.003180484
Susan,F,1154677,0.003160052
Timothy,M,1122610,0.003072293
Dorothy,F,1118450,0.003060908
Jason,M,1112091,0.003043505
Ronald,M,1111459,0.003041775
Helen,F,1033566,0.002828602
Ryan,M,1026185,0.002808402
Jeffrey,M,1020570,0.002793035
Karen,F,1018083,0.002786229
Nancy,F,1016057,0.002780685
Betty,F,1005188,0.002750939
Lisa,F,1005108,0.00275072
Jacob,M,975297,0.002669135
Nicholas,M,968611,0.002650837
Ashley,F,957384,0.002620112
Eric,M,932323,0.002551526
Frank,M,924751,0.002530804
Gary,M,924718,0.002530713
Anna,F,916075,0.00250706
Stephen,M,906367,0.002480491
Jonathan,M,901897,0.002468258
Sandra,F,901623,0.002467508
Emily,F,899883,0.002462746
Amanda,F,886371,0.002425768
Kimberly,F,874977,0.002394585
Michelle,F,862683,0.00236094
Donna,F,849167,0.00232395
Justin,M,846720,0.002317253
Laura,F,842865,0.002306703
Ruth,F,832959,0.002279593
Carol,F,831393,0.002275307
Brandon,M,828500,0.00226739
Larry,M,818093,0.002238908
Scott,M,811733,0.002221503
Melissa,F,808067,0.00221147
Stephanie,F,802059,0.002195028
Benjamin,M,800321,0.002190271
Raymond,M,795468,0.00217699
Samuel,M,791052,0.002164904
Rebecca,F,788998,0.002159283
Deborah,F,757908,0.002074198
Gregory,M,746456,0.002042857
Sharon,F,742904,0.002033136
Kathleen,F,736220,0.002014843
Amy,F,731739,0.00200258
Cynthia,F,723943,0.001981244
Alexander,M,716159,0.001959942
Patrick,M,713972,0.001953956
Jack,M,711970,0.001948477
Henry,M,702836,0.00192348
Angela,F,699210,0.001913556
Shirley,F,698062,0.001910415
Emma,F,693904,0.001899035
Catherine,F,686347,0.001878354
Katherine,F,671534,0.001837814
Virginia,F,654643,0.001791588
